2022-03-27 23:56:13.70 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -6612)
2022-03-27 23:56:14.69 - [NORMAL] - (Sensor ID: 1, Sensor Type:speed, Value: 55)
2022-03-27 23:56:14.70 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -1378)
2022-03-27 23:56:15.70 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: 7128)
2022-03-27 23:56:16.70 - [WARNING] - (Sensor ID: 1, Sensor Type:speed, Value: 20)
2022-03-27 23:56:16.72 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: 2811)
2022-03-27 23:56:17.72 - [ALARM] - (Sensor ID: 2, Sensor Type:position, Value: -8683)
2022-03-27 23:56:18.70 - [ALARM] - (Sensor ID: 1, Sensor Type:speed, Value: 4)
2022-03-27 23:56:18.72 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -177)
2022-03-27 23:56:19.72 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: 8330)
2022-03-27 23:56:20.70 - [WARNING] - (Sensor ID: 1, Sensor Type:speed, Value: 98)
2022-03-27 23:56:20.73 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: 4012)
2022-03-27 23:56:21.73 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -7482)
2022-03-27 23:56:22.70 - [NORMAL] - (Sensor ID: 1, Sensor Type:speed, Value: 81)
2022-03-27 23:56:22.74 - [ALARM] - (Sensor ID: 2, Sensor Type:position, Value: 1025)
2022-03-30 11:04:48.11 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: 2387)
2022-03-30 11:04:49.10 - [ALARM] - (Sensor ID: 1, Sensor Type:speed, Value: -6)
2022-03-30 11:04:49.11 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -1931)
2022-03-30 11:04:50.11 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: 6576)
2022-03-30 11:04:51.11 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -4918)
